ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,index,portfolio,y,total_labor_hours,wo#
2012-12-01,249288.47464741545,133175.4732126793,443345.8482074287,249288.47464741545,249288.47464741545,44930.56520949582,44930.56520949582,44930.56520949582,44930.56520949582,44930.56520949582,44930.56520949582,0.0,0.0,0.0,294219.0398569113,116.0,Giant Food,580183.1799999996,26135.410000000044,2431.0
2013-01-01,266785.7857142182,308356.9379388062,636315.0448306137,266785.7857142182,266785.7857142182,204000.1490215379,204000.1490215379,204000.1490215379,204000.1490215379,204000.1490215379,204000.1490215379,0.0,0.0,0.0,470785.93473575613,121.0,Giant Food,607907.2899999998,28420.859999999997,2617.0
2013-02-01,284283.09677199734,264601.4468592932,589264.6969642238,284283.09677199734,284283.09677199734,145907.8975695707,145907.8975695707,145907.8975695707,145907.8975695707,145907.8975695707,145907.8975695707,0.0,0.0,0.0,430190.99434156803,126.0,Giant Food,522769.6400000002,19671.49,2540.0
2013-03-01,300087.1196581433,187512.41158385447,516072.46664685593,300087.1196581433,300087.1196581433,59518.86343528132,59518.86343528132,59518.86343528132,59518.86343528132,59518.86343528132,59518.86343528132,0.0,0.0,0.0,359605.98309342464,131.0,Giant Food,525344.0200000001,14247.450000000032,2490.0
2013-04-01,317584.43069902883,180064.25486552526,529835.6923862196,317584.43069902883,317584.43069902883,34060.271414763774,34060.271414763774,34060.271414763774,34060.271414763774,34060.271414763774,34060.271414763774,0.0,0.0,0.0,351644.7021137926,136.0,Giant Food,447061.5800000002,12866.670000000006,2506.0
2013-05-01,334517.3123527416,168806.70443841183,489717.79680620594,334517.3123527416,334517.3123527416,-9883.048351144807,-9883.048351144807,-9883.048351144807,-9883.048351144807,-9883.048351144807,-9883.048351144807,0.0,0.0,0.0,324634.2640015968,141.0,Giant Food,337035.61999999994,13265.169999999971,3187.0
2013-06-01,352014.62339491164,150859.63222369293,457896.8802162267,352014.62339491164,352014.62339491164,-43150.63250495165,-43150.63250495165,-43150.63250495165,-43150.63250495165,-43150.63250495165,-43150.63250495165,0.0,0.0,0.0,308863.99088995997,146.0,Giant Food,279923.7,16341.679999999813,3647.0
2013-07-01,368947.5050486244,181653.6167584202,497473.74910574453,368947.5050486244,368947.5050486244,-29861.314526646718,-29861.314526646718,-29861.314526646718,-29861.314526646718,-29861.314526646718,-29861.314526646718,0.0,0.0,0.0,339086.1905219777,151.0,Giant Food,376955.2599999997,17024.19999999992,3696.0
2013-08-01,386444.8160907943,206724.5885151755,548803.9988103235,386444.8160907943,386444.8160907943,-10026.066552571538,-10026.066552571538,-10026.066552571538,-10026.066552571538,-10026.066552571538,-10026.066552571538,0.0,0.0,0.0,376418.74953822274,156.0,Giant Food,512864.16000000015,36441.30000000007,3560.0
2013-09-01,403942.1271329642,143684.75937597157,461492.60164969636,403942.1271329642,403942.1271329642,-95859.67243274298,-95859.67243274298,-95859.67243274298,-95859.67243274298,-95859.67243274298,-95859.67243274298,0.0,0.0,0.0,308082.4547002212,161.0,Giant Food,358773.07999999984,25367.089999999964,3142.0
2013-10-01,420875.0087866771,289444.5503329642,614314.3862899918,420875.0087866771,420875.0087866771,31394.289979182868,31394.289979182868,31394.289979182868,31394.289979182868,31394.289979182868,31394.289979182868,0.0,0.0,0.0,452269.29876586,166.0,Giant Food,457299.20000000024,18656.316699999934,3296.0
2013-11-01,438372.31982884713,302572.80166187725,635524.5646536758,438372.31982884713,438372.31982884713,40033.604092073525,40033.604092073525,40033.604092073525,40033.604092073525,40033.604092073525,40033.604092073525,0.0,0.0,0.0,478405.92392092064,171.0,Giant Food,245984.59000000014,13895.689999999939,3013.0
2013-12-01,455305.2014825599,329886.9672677622,654298.8559544776,455305.2014825599,455305.2014825599,44261.53191371219,44261.53191371219,44261.53191371219,44261.53191371219,44261.53191371219,44261.53191371219,0.0,0.0,0.0,499566.7333962721,176.0,Giant Food,297842.5699999998,25070.070000000003,2886.0
2014-01-01,472802.51252472994,465613.1295669525,797830.8736888849,472802.5124267324,472802.5126135259,167115.6719137701,167115.6719137701,167115.6719137701,167115.6719137701,167115.6719137701,167115.6719137701,0.0,0.0,0.0,639918.1844385001,,,,,
2014-02-01,490299.8235668998,447156.57169171784,774494.696379626,490299.82320713834,490299.8239223566,115221.99028380297,115221.99028380297,115221.99028380297,115221.99028380297,115221.99028380297,115221.99028380297,0.0,0.0,0.0,605521.8138507027,,,,,
2014-03-01,506103.8464436985,469804.4428725515,797315.4770908263,506103.8457560977,506103.8471311647,126383.1840057615,126383.1840057615,126383.1840057615,126383.1840057615,126383.1840057615,126383.1840057615,0.0,0.0,0.0,632487.03044946,,,,,
2014-04-01,523601.1574858684,407207.08890937915,745914.7006331792,523601.15634858835,523601.1585855975,49290.67090073099,49290.67090073099,49290.67090073099,49290.67090073099,49290.67090073099,49290.67090073099,0.0,0.0,0.0,572891.8283865993,,,,,
2014-05-01,540534.0391395811,353151.64619947586,680025.729661794,540534.0375407251,540534.0407173436,-25240.18902155456,-25240.18902155456,-25240.18902155456,-25240.18902155456,-25240.18902155456,-25240.18902155456,0.0,0.0,0.0,515293.8501180266,,,,,
2014-06-01,558031.3501817512,324220.3133944608,658535.2491418455,558031.3481069125,558031.352332363,-70307.65400234335,-70307.65400234335,-70307.65400234335,-70307.65400234335,-70307.65400234335,-70307.65400234335,0.0,0.0,0.0,487723.6961794078,,,,,
2014-07-01,574964.231835464,364361.0881128492,682692.4874512615,574964.2291711809,574964.234444663,-54194.313341385896,-54194.313341385896,-54194.313341385896,-54194.313341385896,-54194.313341385896,-54194.313341385896,0.0,0.0,0.0,520769.9184940781,,,,,
2014-08-01,592461.5428776338,413914.2492421456,745964.8478985286,592461.5396344822,592461.5460281115,-11935.359933784446,-11935.359933784446,-11935.359933784446,-11935.359933784446,-11935.359933784446,-11935.359933784446,0.0,0.0,0.0,580526.1829438494,,,,,
2014-09-01,609958.8539198037,391678.68440295843,716516.5395808413,609958.8500203809,609958.857743321,-45320.45376448795,-45320.45376448795,-45320.45376448795,-45320.45376448795,-45320.45376448795,-45320.45376448795,0.0,0.0,0.0,564638.4001553158,,,,,
2014-10-01,626891.7355735167,504853.35998292814,837901.681802942,626891.7311051316,626891.7399891627,39762.40617966017,39762.40617966017,39762.40617966017,39762.40617966017,39762.40617966017,39762.40617966017,0.0,0.0,0.0,666654.1417531768,,,,,
2014-11-01,644389.0466156866,507952.3114301735,824460.2920379015,644389.0413166686,644389.0517783854,27652.359942717398,27652.359942717398,27652.359942717398,27652.359942717398,27652.359942717398,27652.359942717398,0.0,0.0,0.0,672041.406558404,,,,,
2014-12-01,661321.9282693994,542974.6288791049,862890.2594289301,661321.9223527292,661321.934085985,43090.12543880156,43090.12543880156,43090.12543880156,43090.12543880156,43090.12543880156,43090.12543880156,0.0,0.0,0.0,704412.053708201,,,,,
2011-01-01,-96691.43375637123,-93549.22168793528,41574.9602969258,-96691.43375637123,-96691.43375637123,73480.39198775918,73480.39198775918,73480.39198775918,73480.39198775918,73480.39198775918,73480.39198775918,0.0,0.0,0.0,0.0,2.0,Giant Martins,0.0,0.38,1.0
2011-02-01,-85384.50960766742,-138605.8277884891,-1110.9765616613222,-85384.50960766742,-85384.50960766742,16821.96886928643,16821.96886928643,16821.96886928643,16821.96886928643,16821.96886928643,16821.96886928643,0.0,0.0,0.0,0.0,7.0,Giant Martins,0.0,84.55,11.0
2011-03-01,-75171.80393509069,-53189.5271053463,82082.7183744436,-75171.80393509069,-75171.80393509069,86289.74078376914,86289.74078376914,86289.74078376914,86289.74078376914,86289.74078376914,86289.74078376914,0.0,0.0,0.0,11117.936848678451,12.0,Giant Martins,0.0,56.46000000000001,17.0
2011-04-01,-63864.879787401216,-109773.43914511988,29729.21992750133,-63864.879787401216,-63864.879787401216,26559.63021941035,26559.63021941035,26559.63021941035,26559.63021941035,26559.63021941035,26559.63021941035,0.0,0.0,0.0,0.0,17.0,Giant Martins,0.0,220.89999999999998,55.0
2011-05-01,-52922.69512353936,-140119.83223538296,4629.950856219759,-52922.69512353936,-52922.69512353936,-13583.27477466875,-13583.27477466875,-13583.27477466875,-13583.27477466875,-13583.27477466875,-13583.27477466875,0.0,0.0,0.0,0.0,22.0,Giant Martins,0.0,238.55000000000007,48.0
2011-06-01,-41615.77095318591,-154501.41144264807,-7557.081264511396,-41615.77095318591,-41615.77095318591,-40562.339604944566,-40562.339604944566,-40562.339604944566,-40562.339604944566,-40562.339604944566,-40562.339604944566,0.0,0.0,0.0,0.0,27.0,Giant Martins,0.0,143.41000000000003,37.0
