ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,portfolio,y,total_labor_hours
2011-06-01,-41615.77095318591,-156335.5805676992,-14467.093948195208,-41615.77095318591,-41615.77095318591,-40562.339604944566,-40562.339604944566,-40562.339604944566,-40562.339604944566,-40562.339604944566,-40562.339604944566,0.0,0.0,0.0,-82178.11055813047,Giant Martins,0.0,143.41000000000003
2011-07-01,-30673.586257205017,-118282.78147134677,15842.903557978636,-30673.586257205017,-30673.586257205017,-22315.842717313593,-22315.842717313593,-22315.842717313593,-22315.842717313593,-22315.842717313593,-22315.842717313593,0.0,0.0,0.0,-52989.42897451861,Giant Martins,0.0,1131.1299999999997
2011-08-01,-19366.662060451043,-117284.22523909749,22344.769256426498,-19366.662060451043,-19366.662060451043,-25944.15124258165,-25944.15124258165,-25944.15124258165,-25944.15124258165,-25944.15124258165,-25944.15124258165,0.0,0.0,0.0,-45310.81330303269,Giant Martins,0.0,174.92999999999998
2011-09-01,-8059.73786369707,-88939.9626750784,52985.17086553908,-8059.73786369707,-8059.73786369707,-7335.381903686842,-7335.381903686842,-7335.381903686842,-7335.381903686842,-7335.381903686842,-7335.381903686842,0.0,0.0,0.0,-15395.119767383912,Giant Martins,0.0,196.74000000000004
2011-10-01,2882.4468349452723,-63167.64705714464,76879.72513762066,2882.4468349452723,2882.4468349452723,5964.632579961575,5964.632579961575,5964.632579961575,5964.632579961575,5964.632579961575,5964.632579961575,0.0,0.0,0.0,8847.079414906848,Giant Martins,0.0,405.53
2011-11-01,14189.3710285365,-52699.493690491705,86288.71083862071,14189.3710285365,14189.3710285365,3962.1292953603247,3962.1292953603247,3962.1292953603247,3962.1292953603247,3962.1292953603247,3962.1292953603247,0.0,0.0,0.0,18151.500323896824,Giant Martins,0.0,377.04
2011-12-01,25131.55584854299,-3643.639761402676,147110.66051531708,25131.55584854299,25131.55584854299,43282.01463624965,43282.01463624965,43282.01463624965,43282.01463624965,43282.01463624965,43282.01463624965,0.0,0.0,0.0,68413.57048479264,Giant Martins,0.0,215.4
2012-01-01,36438.4801834791,-15112.243269253597,130379.67069360736,36438.4801834791,36438.4801834791,22796.347926248458,22796.347926248458,22796.347926248458,22796.347926248458,22796.347926248458,22796.347926248458,0.0,0.0,0.0,59234.82810972756,Giant Martins,0.0,480.1899999999998
2012-02-01,47745.404525874736,3482.9513516991597,140719.93124889155,47745.404525874736,47745.404525874736,21398.258711422208,21398.258711422208,21398.258711422208,21398.258711422208,21398.258711422208,21398.258711422208,0.0,0.0,0.0,69143.66323729695,Giant Martins,0.0,673.4500000000002
2012-03-01,58322.850214231614,-7352.904257162783,129249.73258140628,58322.850214231614,58322.850214231614,4622.405313492754,4622.405313492754,4622.405313492754,4622.405313492754,4622.405313492754,4622.405313492754,0.0,0.0,0.0,62945.25552772437,Giant Martins,0.0,488.21
2012-04-01,69629.78162761408,872.4129840053919,149124.9026251616,69629.78162761408,69629.78162761408,5825.810051395555,5825.810051395555,5825.810051395555,5825.810051395555,5825.810051395555,5825.810051395555,0.0,0.0,0.0,75455.59167900964,Giant Martins,0.0,236.00999999999996
2012-05-01,80572.27163972189,19895.359243708586,160664.52584243641,80572.27163972189,80572.27163972189,10224.75952623511,10224.75952623511,10224.75952623511,10224.75952623511,10224.75952623511,10224.75952623511,0.0,0.0,0.0,90797.031165957,Giant Martins,0.0,231.61
2012-06-01,91879.52230541424,16878.51312998894,161427.11178568634,91879.52230541424,91879.52230541424,-5078.399238506163,-5078.399238506163,-5078.399238506163,-5078.399238506163,-5078.399238506163,-5078.399238506163,0.0,0.0,0.0,86801.12306690808,Giant Martins,0.0,642.1099999999999
2012-07-01,102822.23275156625,50652.578375554425,186571.2075725892,102822.23275156625,102822.23275156625,18054.071135110065,18054.071135110065,18054.071135110065,18054.071135110065,18054.071135110065,18054.071135110065,0.0,0.0,0.0,120876.30388667631,Giant Martins,0.0,663.5200000000002
2012-08-01,114129.70157316349,-7001.034397879848,133243.7896000603,114129.70157316349,114129.70157316349,-49690.102134958404,-49690.102134958404,-49690.102134958404,-49690.102134958404,-49690.102134958404,-49690.102134958404,0.0,0.0,0.0,64439.599438205085,Giant Martins,0.0,29541.21999999996
2012-09-01,125437.1707979429,-6463.968718931124,136468.19213729203,125437.1707979429,125437.1707979429,-60318.04664464807,-60318.04664464807,-60318.04664464807,-60318.04664464807,-60318.04664464807,-60318.04664464807,0.0,0.0,0.0,65119.12415329483,Giant Martins,28183.309999999998,20849.86999999997
2012-10-01,136379.88295095522,89605.7096014576,223240.10492732163,136379.88295095522,136379.88295095522,22765.634305306095,22765.634305306095,22765.634305306095,22765.634305306095,22765.634305306095,22765.634305306095,0.0,0.0,0.0,159145.51725626132,Giant Martins,170347.85999999987,36279.719999999856
2012-11-01,147687.3521899533,72855.07781009482,216387.17588221538,147687.3521899533,147687.3521899533,1560.906667276431,1560.906667276431,1560.906667276431,1560.906667276431,1560.906667276431,1560.906667276431,0.0,0.0,0.0,149248.25885722972,Giant Martins,223796.68,45855.16000000017
2012-12-01,158630.06437083325,66153.1674568771,211563.20017644126,158630.06437083325,158630.06437083325,-16385.890729936185,-16385.890729936185,-16385.890729936185,-16385.890729936185,-16385.890729936185,-16385.890729936185,0.0,0.0,0.0,142244.17364089706,Giant Martins,153103.30000000005,40938.930000000044
2013-01-01,169937.53364567464,271395.33447517204,414685.81166940695,169937.53364567464,169937.53364567464,174500.74720228137,174500.74720228137,174500.74720228137,174500.74720228137,174500.74720228137,174500.74720228137,0.0,0.0,0.0,344438.280847956,Giant Martins,380235.0200000003,43725.04329999985
2013-02-01,181245.00292388862,124884.94952933259,261560.1278567428,181245.00292388862,181245.00292388862,10787.094723753764,10787.094723753764,10787.094723753764,10787.094723753764,10787.094723753764,10787.094723753764,0.0,0.0,0.0,192032.0976476424,Giant Martins,191998.50999999998,28790.98999999999
2013-03-01,191458.20099966583,157961.00839518855,297323.3811404861,191458.20099966583,191458.20099966583,31789.955752525006,31789.955752525006,31789.955752525006,31789.955752525006,31789.955752525006,31789.955752525006,0.0,0.0,0.0,223248.15675219084,Giant Martins,296419.77999999997,24517.650000000052
2013-04-01,202765.6702982077,147423.44274305087,284565.2599726365,202765.6702982077,202765.6702982077,13303.944286797752,13303.944286797752,13303.944286797752,13303.944286797752,13303.944286797752,13303.944286797752,0.0,0.0,0.0,216069.61458500545,Giant Martins,253425.48000000013,22080.879999999906
2013-05-01,213708.38251618118,146138.2353632564,285144.1191999586,213708.38251618118,213708.38251618118,2752.4499754884537,2752.4499754884537,2752.4499754884537,2752.4499754884537,2752.4499754884537,2752.4499754884537,0.0,0.0,0.0,216460.83249166963,Giant Martins,240548.87,19510.303300000192
2013-06-01,225015.8518080872,141302.19660134564,273260.55555051693,225015.8518080872,225015.8518080872,-16787.76319719477,-16787.76319719477,-16787.76319719477,-16787.76319719477,-16787.76319719477,-16787.76319719477,0.0,0.0,0.0,208228.08861089242,Giant Martins,212801.36000000007,19069.759999999842
2013-07-01,235958.56402606078,170357.06659271521,310446.1676372258,235958.56402606078,235958.56402606078,4192.206024683656,4192.206024683656,4192.206024683656,4192.206024683656,4192.206024683656,4192.206024683656,0.0,0.0,0.0,240150.77005074444,Giant Martins,308712.40000000026,61908.039999999004
2013-08-01,247266.03331796674,136430.64295472513,276267.23891543504,247266.03331796674,247266.03331796674,-42326.78364285883,-42326.78364285883,-42326.78364285883,-42326.78364285883,-42326.78364285883,-42326.78364285883,0.0,0.0,0.0,204939.24967510792,Giant Martins,224870.68999999997,60908.64000000001
2013-09-01,258573.50260987275,146615.04749176797,288283.4378346535,258573.50260987275,258573.50260987275,-42627.465979687244,-42627.465979687244,-42627.465979687244,-42627.465979687244,-42627.465979687244,-42627.465979687244,0.0,0.0,0.0,215946.0366301855,Giant Martins,238397.6099999999,43333.46000000007
2013-10-01,269516.2148278463,212046.94478983773,356436.4323136271,269516.2148278463,269516.2148278463,17418.082590401154,17418.082590401154,17418.082590401154,17418.082590401154,17418.082590401154,17418.082590401154,0.0,0.0,0.0,286934.2974182475,Giant Martins,285495.6399999999,38523.33000000025
2013-11-01,280823.6841197524,210684.7136751425,352834.60503319453,280823.6841197524,280823.6841197524,2323.9167222267265,2323.9167222267265,2323.9167222267265,2323.9167222267265,2323.9167222267265,2323.9167222267265,0.0,0.0,0.0,283147.6008419791,Giant Martins,227544.21999999983,33961.270000000055
2013-12-01,291766.3963377259,224532.40653309258,367392.10454541765,291766.3963377259,291766.3963377259,4184.237842552053,4184.237842552053,4184.237842552053,4184.237842552053,4184.237842552053,4184.237842552053,0.0,0.0,0.0,295950.634180278,Giant Martins,353662.60000000015,49168.470000000016
2014-01-01,303073.86562963197,353010.6232494602,494206.86718987115,303073.8520008912,303073.87748971395,124066.23697586023,124066.23697586023,124066.23697586023,124066.23697586023,124066.23697586023,124066.23697586023,0.0,0.0,0.0,427140.1026054922,,,
2014-02-01,314381.33492153796,253037.0835223267,395325.4582435364,314381.2796134903,314381.3767100515,13286.579132062916,13286.579132062916,13286.579132062916,13286.579132062916,13286.579132062916,13286.579132062916,0.0,0.0,0.0,327667.91405360086,,,
2014-03-01,324594.5329916467,309348.6183186539,452989.4332650011,324594.4340800157,324594.61471771955,59024.982204230786,59024.982204230786,59024.982204230786,59024.982204230786,59024.982204230786,59024.982204230786,0.0,0.0,0.0,383619.51519587747,,,
2014-04-01,335902.0022835526,283969.97203207464,422502.6487828784,335901.84417989675,335902.12871695694,20220.308610746477,20220.308610746477,20220.308610746477,20220.308610746477,20220.308610746477,20220.308610746477,0.0,0.0,0.0,356122.31089429907,,,
2014-05-01,346844.71450152615,276617.1257669582,412392.18958146544,346844.49492400436,346844.89728622435,-5187.520652448611,-5187.520652448611,-5187.520652448611,-5187.520652448611,-5187.520652448611,-5187.520652448611,0.0,0.0,0.0,341657.19384907756,,,
2014-06-01,358152.1837934322,258875.10991567932,401050.493147426,358151.8997353825,358152.42172400496,-28622.809567209984,-28622.809567209984,-28622.809567209984,-28622.809567209984,-28622.809567209984,-28622.809567209984,0.0,0.0,0.0,329529.3742262222,,,
2014-07-01,369094.8960114058,291087.8713504616,430720.7339255359,369094.5398996935,369095.2005519296,-9270.26011792017,-9270.26011792017,-9270.26011792017,-9270.26011792017,-9270.26011792017,-9270.26011792017,0.0,0.0,0.0,359824.6358934856,,,
2014-08-01,380402.36530331173,278522.6218778749,416088.2898985938,380401.9186911939,380402.7450923248,-34408.10445478118,-34408.10445478118,-34408.10445478118,-34408.10445478118,-34408.10445478118,-34408.10445478118,0.0,0.0,0.0,345994.26084853057,,,
2014-09-01,391709.8345952177,300509.8311254416,441249.40907011996,391709.291673492,391710.28902476694,-24958.96741139443,-24958.96741139443,-24958.96741139443,-24958.96741139443,-24958.96741139443,-24958.96741139443,0.0,0.0,0.0,366750.8671838233,,,
2014-10-01,402652.5468131913,343917.5880144094,485968.63503327465,402651.89476130105,402653.08078722435,11817.858381121372,11817.858381121372,11817.858381121372,11817.858381121372,11817.858381121372,11817.858381121372,0.0,0.0,0.0,414470.4051943127,,,
2014-11-01,413960.0161050973,340527.07125583244,480367.8659162833,413959.2700654402,413960.6425617049,3125.902983859469,3125.902983859469,3125.902983859469,3125.902983859469,3125.902983859469,3125.902983859469,0.0,0.0,0.0,417085.9190889568,,,
2014-12-01,424902.7283230709,373551.87270843756,517423.36220233486,424901.88699927524,424903.4475878024,24076.303242155467,24076.303242155467,24076.303242155467,24076.303242155467,24076.303242155467,24076.303242155467,0.0,0.0,0.0,448979.0315652264,,,
2011-01-01,-45910.852495169245,-76560.42142895298,89655.35058144256,-45910.852495169245,-45910.852495169245,47440.31351379721,47440.31351379721,47440.31351379721,47440.31351379721,47440.31351379721,47440.31351379721,0.0,0.0,0.0,1529.4610186279679,North,28213.940000000017,2245.1899999999996
2011-02-01,-36805.23136839964,-76350.2258037302,82690.88920653882,-36805.23136839964,-36805.23136839964,36781.282441643525,36781.282441643525,36781.282441643525,36781.282441643525,36781.282441643525,36781.282441643525,0.0,0.0,0.0,-23.948926756114815,North,35375.04999999999,2139.5933000000005
2011-03-01,-28580.799391051736,-69232.51450204234,91186.76771901753,-28580.799391051736,-28580.799391051736,38533.44930341561,38533.44930341561,38533.44930341561,38533.44930341561,38533.44930341561,38533.44930341561,0.0,0.0,0.0,9952.649912363875,North,39923.32,2280.17
2011-04-01,-19475.178267540963,-95063.40948380272,64245.18552793969,-19475.178267540963,-19475.178267540963,3049.921003536509,3049.921003536509,3049.921003536509,3049.921003536509,3049.921003536509,3049.921003536509,0.0,0.0,0.0,-16425.257264004453,North,42927.820000000014,1896.0901
2011-05-01,-10663.28684571298,-110467.25927021197,51541.923244408004,-10663.28684571298,-10663.28684571298,-16552.68760339853,-16552.68760339853,-16552.68760339853,-16552.68760339853,-16552.68760339853,-16552.68760339853,0.0,0.0,0.0,-27215.974449111513,North,41847.590000000004,2213.21
2011-06-01,-1557.665711074628,-124380.14468539513,31309.173420006282,-1557.665711074628,-1557.665711074628,-40977.53645250503,-40977.53645250503,-40977.53645250503,-40977.53645250503,-40977.53645250503,-40977.53645250503,0.0,0.0,0.0,-42535.20216357966,North,40963.16000000001,2237.2799999999997
2011-07-01,7254.225701732065,-72098.80944086258,85370.98938422799,7254.225701732065,7254.225701732065,-1451.4520655905485,-1451.4520655905485,-1451.4520655905485,-1451.4520655905485,-1451.4520655905485,-1451.4520655905485,0.0,0.0,0.0,5802.773636141517,North,39905.02,1827.05
2011-08-01,16359.846823690716,-66108.80835052191,100418.36711100445,16359.846823690716,16359.846823690716,1500.1321363725312,1500.1321363725312,1500.1321363725312,1500.1321363725312,1500.1321363725312,1500.1321363725312,0.0,0.0,0.0,17859.978960063247,North,42226.040000000015,2191.3599999999997
