region,index,y,total_labor_hours,wo#
Region 033,374.5483604839507,307845.4944514398,28008.210084401715,3595.6437890963366
Region 033,384.4141443989758,317078.50359383057,28873.662264995888,3694.039851575075
Region 033,394.33886698429825,326354.17291962187,29702.063633715796,3793.630153666583
Region 033,404.3230407448012,335724.5079339444,30523.419872912335,3895.1430193741508
Region 033,414.36721084482417,345205.13413769123,31351.402241947882,3998.617731362548
Region 10,308.7328838551618,143212.10586539938,10224.835336669135,1300.3757437604424
Region 10,318.46096761640376,175076.73438869652,10594.145188917433,1410.2567519374504
Region 10,328.1788567203293,191922.8787129703,10687.124830410594,1503.915910781571
Region 10,337.90403333037955,200528.6089029696,10780.009198495754,1589.3260194156749
Region 10,347.6585716856596,206010.36791798816,10975.660743712782,1669.4883242656465
Region 10,357.46008673483084,211240.51989778125,11277.159763856358,1745.3653572926557
Region 10,367.3193775056233,217325.0869882045,11648.691719938033,1817.4278521129384
Region 10,377.24155123643584,224351.06076210272,12051.783822929954,1886.2346045534791
Region 10,387.22820480183657,232001.5620402867,12460.151978896447,1952.5000903771077
Region 10,397.27934793419223,239921.98553039797,12861.371038449002,2016.9783874448306
Region 10,407.3946228662063,247871.11275157382,13252.870588153037,2080.340510004009
Region 10,417.57386646636354,255739.90348020973,13637.042984612719,2143.108595724364
Region 13,309.0067863849064,139777.51215010122,17985.317583980708,1894.0948346466437
Region 13,318.0899043975948,142357.65843774696,18320.680232191065,2095.048041819302
Region 13,327.25770864028226,149325.81460626036,19343.16903021359,2284.6315201626303
Region 13,336.5026230003856,157411.0423558258,20510.573157855833,2447.1043587890035
Region 13,345.8139089919985,165338.96112371443,21625.18999935969,2583.972982132197
Region 13,355.18237446940344,172760.66517469435,22640.516987076517,2701.694486469207
Region 13,364.60145926581697,179693.41040246558,23566.527019902544,2806.73446399081
Region 13,374.06695508627814,186261.79608772826,24427.798243415345,2904.0614676671125
Region 13,383.5763757247679,192593.8446330929,25247.531278735056,2997.0409315112847
Region 13,393.1283683286147,198788.83233758577,26043.097394066583,3087.7764853388753
Region 13,402.7222739905709,204914.34059410583,26826.07664442839,3177.5059549080247
Region 13,412.3578353242123,211012.76998441937,27603.624527563297,3266.9213107711757
Region 14,310.14528459682293,85512.65012297113,18562.788854538347,1809.3359919151105
Region 14,319.40719932591014,84735.18206816485,18439.217056956917,1983.092138627854
Region 14,328.761118212763,88570.75991685211,19098.117009854544,2155.984679189256
Region 14,338.19117030322366,93629.87905070437,20024.233923020496,2308.899744744038
Region 14,347.6873011952022,98683.7720103486,21000.802177629535,2440.334976904486
Region 14,357.2433110478995,103388.05627964005,21948.218235959102,2554.4788751270034
Region 14,366.8555171546993,107727.75517627808,22846.667022311718,2656.4055471953416
Region 14,376.5218457200933,111786.37786816743,23699.79408990717,2750.4085122922015
Region 14,386.2412254725214,115657.53807349571,24518.360786210207,2839.639736556689
Region 14,396.01319220185997,119416.87606165014,25313.47221293342,2926.229425344781
Region 14,405.8376377033759,123117.6898889148,26094.236863109196,3011.533724789868
Region 14,415.71465500469594,126794.53471529252,26867.348259374376,3096.3734080904132
Region 15,311.1127146113422,84609.58996572043,11175.289602060473,1135.801199035643
Region 15,320.2708264264099,71744.72209994642,10114.349594859184,1172.8610781907173
Region 15,329.452885585741,69206.63626016457,9410.572318141225,1248.2582108767597
Region 15,338.6876643443469,72901.56140594171,9474.209822022649,1345.6752978721156
Region 15,347.99148180256645,78958.28508799426,10004.971593819188,1441.6216750990902
Region 15,357.3649118184109,85083.7445035604,10690.089107283946,1524.647568922136
Region 15,366.8006909370723,90350.01038267469,11348.916658220456,1593.3680283299002
Region 15,376.29024828446603,94644.78701261977,11915.940892387027,1651.2236467071984
Region 15,385.8269122772067,98206.51057891127,12391.861503880895,1702.6620604840502
Region 15,395.40667757997437,101340.5419356658,12803.342887391007,1751.2756139962462
Region 15,405.0277536957648,104290.23387147895,13179.507407534371,1799.306716287729
Region 15,414.6897611958049,107205.28722628036,13542.084811977857,1847.8401297342466
Region 33,311.54553335771044,86.0523352105881,111.63369782345049,23.38817783849737
Region 33,316.72546697024706,124.89030664955246,95.37520802374726,20.495941310347543
Region 33,322.4614801824131,130.77504570893996,100.45723823540155,21.462383752227638
Region 33,327.692827222482,128.29588904789068,101.658482419076,21.73126659739205
Region 33,332.6861006427848,125.78718104037341,103.19136019712498,22.09703250147272
